('Total Revenue', '221,192 ', '165,575 ', '55,392 ', '8,549 ', '-- ')
         754041 function calls (729990 primitive calls) in 9.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       10    0.000    0.000    0.000    0.000 parse.py:380(urlparse)
        1    0.000    0.000    0.000    0.000 calendar.py:150(Calendar)
       99    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      410    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      462    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      210    0.000    0.000    0.000    0.000 typing.py:1242(__eq__)
        2    0.000    0.000    0.009    0.005 connection.py:1(<module>)
       60    0.000    0.000    0.001    0.000 _htmlparser.py:127(handle_startendtag)
        1    0.000    0.000    0.000    0.000 auth.py:1(<module>)
        8    0.000    0.000    0.000    0.000 message.py:462(get)
       63    0.000    0.000    0.001    0.000 typing.py:664(__init__)
      201    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
        3    0.000    0.000    0.029    0.010 exceptions.py:1(<module>)
